1.5247,1.2289,1.2311,1.268,1.3311,1.342,1.6356,1.6052,1.666,1.6943,1.7204,1.7161,1.7357,1.6726,1.7248,1.7378,1.653,1.5464,1.5095,1.4203,1.5225,1.3659,1.2854,1.2767,1.2419,1.1071,1.2572,1.0723,1.2593,1.2745,1.2506,1.2202,1.2136,1.218,0.9048,1.0505,0.87652,0.86347,0.76125,1.1527,0.957
1.3354,0.98745,1.2832,1.0984,1.2441,1.3354,1.3267,1.5312,1.5812,1.6726,1.5486,1.4681,1.5377,1.4529,1.4485,1.5986,1.3485,1.4246,1.305,1.1767,1.2854,1.2202,1.1658,1.0353,1.0788,1.0418,0.98745,0.92437,0.89827,1.0157,1.0114,0.93743,0.8787,1.0549,0.94613,0.90262,0.81127,0.77648,0.76342,0.89393,0.90697
1.2876,0.90698,1.0092,0.98745,1.1375,1.2593,1.3398,1.4442,1.4355,1.3463,1.3811,1.5334,1.5943,1.3267,1.4594,1.379,1.3093,1.2854,0.98527,1.0657,0.90915,0.8613,0.66772,0.5133,0.609,0.75255,0.75907,0.53505,0.79388,0.87,0.85042,0.84608,0.71993,0.86565,0.68295,0.75907,0.6612,0.54158,0.48067,0.82867,0.86783
1.1636,0.93743,0.9048,1.1549,1.0788,1.168,1.2724,1.342,1.4572,1.4507,1.3311,1.3681,1.3137,1.342,1.2985,1.2789,1.2071,0.9831,0.86565,0.6699,0.72427,0.58508,0.43283,0.4002,0.2697,0.42413,0.43718,0.4524,0.5133,0.59378,0.5829,0.53505,0.71775,0.51983,0.6264,0.68077,0.79387,0.50895,0.52635,0.7482,0.74603
0.92873,0.89175,1.0418,1.0222,1.2267,1.1528,1.2136,1.3702,1.3268,1.3376,1.5682,1.5769,1.3311,1.3985,1.3028,1.2376,0.89392,0.72645,0.58942,0.41325,0.1827,0.067425,0.09135,0.03915,0.006525,0.11093,0.050025,0.1653,0.18922,0.34365,0.43935,0.45022,0.4437,0.61117,0.44805,0.46545,0.45675,0.4611,0.4263,0.82433,0.6351
1.0266,0.91133,1.0027,0.95048,1.0657,1.255,1.2746,1.3833,1.3768,1.5529,1.4007,1.5878,1.5921,1.4747,1.2876,1.1419,0.87652,0.73298,0.37845,0.05655,0.002175,-0.058725,-0.33495,-0.35888,-0.39368,-0.37845,-0.097875,-0.12397,0,0.032625,0.050025,0.37845,0.41107,0.38715,0.39585,0.44805,0.38715,0.40673,0.35235,0.6264,0.4872
0.92873,0.85695,0.89175,0.90697,0.98527,1.1984,1.3441,1.3224,1.3964,1.5704,1.5703,1.5573,1.5508,1.4964,1.3072,1.1963,0.87,0.57202,0.14355,-0.25447,-0.43718,-0.70687,-0.85477,-0.77865,-0.84825,-0.72645,-0.43718,-0.39803,-0.1305,-0.019575,0,0.028275,0.25882,0.11092,0.25665,0.27622,0.41325,0.348,0.34147,0.50243,0.5829
0.90915,0.86565,0.91567,1.1832,1.2376,1.2919,1.3746,1.6269,1.703,1.7204,1.8923,1.9249,1.8727,1.7487,1.7095,1.3028,0.88305,0.43282,-0.10223,-0.61553,-0.86783,-1.0679,-1.2658,-1.3137,-1.2746,-1.1245,-0.91132,-0.68295,-0.45675,-0.30668,-0.17183,-0.03915,-0.01305,0.071775,0.097875,0.10657,0.27405,0.33495,0.18487,0.43935,0.49372
0.86565,0.7917,1.0549,1.1528,1.044,1.2854,1.3789,1.5529,1.7552,2.1293,2.1293,2.1968,2.1902,2.212,1.9075,1.6747,1.1528,0.41978,-0.36758,-0.88305,-1.3811,-1.7465,-2.0858,-2.0271,-1.7726,-1.7074,-1.3311,-1.2506,-0.86347,-0.6699,-0.522,-0.4089,-0.18053,-0.036975,0.015225,0.019575,0.2436,0.11745,0.03045,0.3306,0.37628
0.83955,0.84825,0.95918,0.96787,1.2332,1.4311,1.6769,1.7487,1.9792,2.2141,2.3751,2.6317,2.9384,2.6644,2.6078,2.1728,1.5921,0.47633,-0.43718,-1.3463,-2.1663,-2.5904,-2.7949,-2.8666,-2.5861,-2.262,-1.9684,-1.5268,-1.2854,-1.1593,-0.7134,-0.47632,-0.44587,-0.34582,-0.041325,0,0.002175,0.00435,0.0087,0.2871,0.42413
