0.32843,0.26318,0.19357,0.36758,0.522,0.45457,0.59595,0.6786,0.783,0.73515,0.77865,0.78517,0.9048,1.1049,1.0179,1.007,1.0483,1.057,1.181,1.2289,1.0375,1.2006,1.081,1.2202,1.2615,0.98092,0.9309,0.91785,1.0766,1.5551,0.82215,0.5307,0.68947,0.37627,0.24578,0.27623,0.23055,-0.006525,-0.019575,-0.12615,-0.0696
0.261,0.31972,0.31755,0.4872,0.54592,0.522,0.5829,0.81345,0.74385,0.93525,0.9135,0.8787,1.0027,1.2463,1.2267,1.2506,1.255,1.181,1.2963,1.0853,1.1462,1.1419,1.3137,1.3311,1.2985,1.1092,1.2767,1.0766,1.2267,1.0701,0.64597,0.82867,0.75255,0.43282,0.38498,0.40673,0.0522,0.0609,-1.4211e-14,-0.1566,-0.24578
0.43065,0.41977,0.5481,0.45893,0.5133,0.70905,0.6525,0.86565,1.0049,0.88305,1.1723,1.2376,1.292,1.2898,1.3268,1.2985,1.4159,1.3485,1.5356,1.4051,1.6117,1.5182,1.4333,1.3485,1.5356,1.4551,1.3703,1.3007,1.3028,1.1158,0.87217,0.83955,0.7917,0.5307,0.44152,0.38932,0.34582,0.087,0.03045,-0.1131,-0.24577
0.43065,0.435,0.47415,0.80692,0.5916,0.73733,0.88305,1.0614,1.1027,1.2289,1.2332,1.2463,1.442,1.3268,1.4812,1.6421,1.5573,1.64,1.7357,1.7248,1.727,1.727,1.7248,1.7357,1.7531,1.5986,1.3985,1.6313,1.4681,1.2398,0.97875,0.88088,0.85912,0.6699,0.66772,0.4437,0.42412,0.13267,0.0348,0.00435,-0.14355
0.47197,0.44152,0.55027,0.78952,0.80692,0.8613,1.0135,0.94177,1.2006,1.2267,1.4703,1.4681,1.5182,1.6987,1.74,1.7444,1.8509,1.7966,2.0902,2.0902,2.0989,1.9727,1.9967,2.1337,1.8292,1.8314,1.8074,1.7792,1.5834,1.5856,1.2267,0.97658,1.0766,0.64598,0.49155,0.47415,0.435,0.18488,0.37627,0.19575,-0.019575
0.58073,0.45892,0.84172,0.71557,0.86782,0.8787,1.231,1.2963,1.3137,1.6138,1.529,1.6834,1.8292,2.0467,2.0532,2.1467,2.1598,2.3186,2.5078,2.2881,2.523,2.5143,2.2446,2.3098,2.4295,2.1228,2.1445,2.0749,2.0336,1.7378,1.6465,1.2919,1.2115,0.82867,0.7743,0.49807,0.61118,0.3219,0.38715,0.08265,0.03045
0.75472,0.68295,0.8352,0.86347,0.9048,1.0266,1.1571,1.3398,1.4681,1.6921,1.7661,1.8161,2.1206,2.1815,2.212,2.5208,2.56,2.697,2.797,2.6752,2.6578,2.797,2.9102,2.9254,2.6317,2.5752,2.573,2.3729,2.2185,1.9792,1.7204,1.5986,1.4442,0.97005,0.95047,0.84607,0.64815,0.4524,0.43283,0.19575,0.1827
0.57203,0.6351,0.76995,0.88305,1.1745,1.2506,1.3115,1.4377,1.6878,1.7704,2.1206,2.1663,2.4925,2.6361,2.6252,2.8471,3.0276,3.2125,3.4387,3.2864,3.2756,3.3625,3.3647,3.3865,3.2168,2.9863,2.8406,2.6535,2.5817,2.2054,2.0423,1.74,1.4137,1.2898,1.1027,0.8352,0.62857,0.6003,0.4437,0.40672,0.22837
0.60683,0.82868,0.88305,1.1549,1.0984,1.2898,1.3615,1.7117,2.0706,2.0423,2.3316,2.4317,2.9036,3.0406,3.2451,3.306,3.6671,3.8693,4.0846,3.9063,3.9324,4.1129,4.0716,3.9694,3.7388,3.5018,3.4648,3.1255,2.8797,2.5469,2.436,1.9096,1.7422,1.3963,1.2854,0.90915,0.73732,0.5046,0.68947,0.42412,0.35017
0.85695,0.87652,0.89392,1.255,1.3115,1.516,1.6595,1.8074,2.1707,2.4643,2.6187,2.8253,3.2451,3.5627,3.7541,4.0042,4.3478,4.474,4.7741,4.7502,4.9024,4.8502,4.8133,4.7893,4.7176,4.1086,3.9628,3.8476,3.2299,2.9863,2.6405,2.2337,2.0075,1.6943,1.342,1.292,0.9918,0.78082,0.58073,0.56332,0.23055
0.84607,1.0853,0.95917,1.1745,1.5638,1.4311,1.9009,2.1707,2.299,2.5861,3.0472,3.1842,3.6801,4.1216,4.3783,4.7719,5.2069,5.3244,5.6572,5.8159,5.8181,6.04,6.0008,5.8225,5.4767,5.0308,4.8372,4.3848,4.0063,3.5257,3.0472,2.6557,2.312,1.9162,1.653,1.3181,1.1006,1.0201,0.80258,0.51765,0.31537
0.88522,1.0309,1.2071,1.3115,1.5834,1.74,1.8857,2.4991,2.8449,2.9885,3.4778,3.7649,4.3195,4.7959,5.2222,5.6942,6.0922,6.5294,6.9361,6.9644,7.3711,7.2514,7.0644,6.9883,6.7991,6.2858,5.6985,5.2222,4.7415,3.9868,3.5518,3.0755,2.6644,2.1511,1.8727,1.4529,1.3181,0.95265,0.9048,0.63075,0.4959
1.0309,1.0657,1.2985,1.5856,1.7291,2.0554,2.3838,2.684,3.0102,3.3843,3.952,4.3456,5.0112,5.6572,6.1052,6.8208,7.4124,8.0866,8.6543,8.8001,9.1241,9.1067,9.1154,8.6978,8.2672,7.6821,6.9339,6.401,5.5702,4.7741,4.0955,3.4822,3.0972,2.5469,2.0445,1.777,1.3702,1.0092,1.1397,0.78735,0.48068
