1.3289,1.5247,-1.3246
1.0331,1.2289,-1.2572
1.2115,1.2311,-1.131
1.0853,1.268,-1.0571
1.2136,1.3311,-0.92002
1.1527,1.342,-0.91785
1.2637,1.6356,-0.87435
1.1223,1.6052,-0.87217
1.1723,1.666,-0.88522
1.2746,1.6943,-0.96352
1.0135,1.7204,-1.0331
1.2093,1.7161,-1.0157
1.0462,1.7357,-1.0179
0.94395,1.6726,-0.98528
1.0266,1.7248,-0.87
1.0549,1.7378,-0.8787
1.0353,1.653,-0.8526
0.97005,1.5464,-0.74385
0.8874,1.5095,-0.64597
0.63075,1.4203,-0.5307
0.8004,1.5225,-0.6873
0.54593,1.3659,-0.45675
0.44805,1.2854,-0.44152
0.31538,1.2767,-0.43065
0.19792,1.2419,-0.3741
0.17835,1.1071,-0.43065
-0.028275,1.2572,-0.4089
-0.0435,1.0723,-0.4089
-0.14573,1.2593,-0.44152
-0.6003,1.2745,0.019575
-0.30015,1.2506,-0.48502
-0.31972,1.2202,-0.48938
-0.42847,1.2136,-0.52635
-0.45023,1.218,-0.522
-0.42847,0.9048,-0.62858
-0.54375,1.0505,-0.54375
-0.4611,0.87652,-0.6264
-0.51765,0.86347,-0.81997
-0.4437,0.76125,-0.77865
-0.19793,1.1527,-0.73297
-0.29797,0.957,-0.8178
1.2767,1.3354,-1.3659
1.0092,0.98745,-1.268
0.98963,1.2832,-1.0875
1.0636,1.0984,-1.0832
1.1506,1.2441,-0.8961
1.1549,1.3354,-0.88087
1.1397,1.3267,-0.8961
1.2789,1.5312,-0.88087
1.1397,1.5812,-0.96787
1.1092,1.6726,-0.93307
1.0853,1.5486,-0.92655
1.2811,1.4681,-1.0266
1.2028,1.5377,-1.0875
1.2528,1.4529,-0.90697
1.2789,1.4485,-0.82867
1.1615,1.5986,-0.84607
1.1114,1.3485,-0.8004
1.0244,1.4246,-0.68512
1.1049,1.305,-0.58507
1.0919,1.1767,-0.7134
0.90915,1.2854,-0.64162
0.85478,1.2202,-0.59377
0.63727,1.1658,-0.32842
0.5133,1.0353,-0.2088
0.41977,1.0788,-0.3219
0.12398,1.0418,-0.39585
0.20663,0.98745,-0.23272
0.10005,0.92437,-0.42195
0.006525,0.89827,-0.21315
-0.18488,1.0157,-0.43283
-0.15878,1.0114,-0.64597
-0.23707,0.93743,-0.4698
-0.1479,0.8787,-0.45675
-0.39803,1.0549,-0.48937
-0.2523,0.94613,-0.58507
-0.36757,0.90262,-0.49372
-0.4176,0.81127,-0.71123
-0.435,0.77648,-0.5742
-0.4611,0.76342,-0.7656
-0.34583,0.89393,-0.67207
-0.20662,0.90697,-0.7482
1.1506,1.2876,-1.2941
1.1745,0.90698,-0.9918
0.93525,1.0092,-0.9831
1.1832,0.98745,-0.90915
0.96787,1.1375,-0.86783
1.0549,1.2593,-0.8787
1.0592,1.3398,-0.77647
1.2745,1.4442,-0.8961
1.1006,1.4355,-0.94395
1.2767,1.3463,-0.87435
1.3072,1.3811,-0.96135
1.392,1.5334,-0.92437
1.342,1.5943,-0.88087
1.3463,1.3267,-0.89827
1.3159,1.4594,-0.84172
1.3637,1.379,-0.85695
1.429,1.3093,-0.69382
1.442,1.2854,-0.82432
1.3028,0.98527,-0.62422
1.1745,1.0657,-0.58942
1.0092,0.90915,-0.4611
1.0919,0.8613,-0.26535
0.86782,0.66772,-0.30885
0.83738,0.5133,-0.35017
0.46545,0.609,-0.0522
0.42848,0.75255,-0.25882
0.35452,0.75907,-0.03045
0.10223,0.53505,-0.30885
0.2349,0.79388,-0.15225
-0.0435,0.87,-0.44587
-0.07395,0.85042,-0.44587
-0.30233,0.84608,-0.42195
-0.27405,0.71993,-0.41325
-0.0957,0.86565,-0.45892
-0.2175,0.68295,-0.435
-0.23055,0.75907,-0.49155
-0.37628,0.6612,-0.51548
-0.33495,0.54158,-0.47198
-0.3045,0.48067,-0.45892
-0.17618,0.82867,-0.696
-0.30885,0.86783,-0.85913
1.2332,1.1636,-1.2789
1.168,0.93743,-1.2223
0.9135,0.9048,-1.0657
1.1702,1.1549,-0.88523
1.2311,1.0788,-0.80258
1.1528,1.168,-0.73733
1.1049,1.2724,-0.8526
1.1615,1.342,-0.9135
1.3267,1.4572,-0.87652
1.4638,1.4507,-0.88305
1.3833,1.3311,-0.91567
1.4594,1.3681,-0.92437
1.5725,1.3137,-0.97657
1.666,1.342,-0.92437
1.7009,1.2985,-0.86347
1.7443,1.2789,-0.73515
1.7356,1.2071,-0.67207
1.6943,0.9831,-0.81127
1.6204,0.86565,-0.696
1.5073,0.6699,-0.43718
1.3746,0.72427,-0.4263
1.3376,0.58508,-0.2697
1.0157,0.43283,-0.0696
0.88305,0.4002,-0.010875
0.62422,0.2697,-0.04785
0.51113,0.42413,-0.13485
0.4785,0.43718,-0.10005
0.35887,0.4524,-0.02175
0.16095,0.5133,-0.1914
0.0261,0.59378,-0.097875
0.0696,0.5829,-0.3567
-0.0348,0.53505,-0.27622
-0.010875,0.71775,-0.18705
-0.063075,0.51983,-0.435
-0.21533,0.6264,-0.2436
-0.16313,0.68077,-0.47632
-0.20663,0.79387,-0.43935
-0.15225,0.50895,-0.51547
-0.3306,0.52635,-0.52635
-0.2175,0.7482,-0.73732
